env_hash,nb_assigned_cores,nb_available_core,assigned_memory,machine_memory,OS,kernel_version,activated_modules,cpu_freq,cpu_boost,cpu_brand,cpu_model,L1,L2,L3
4b9887900a545124e2e2e7209edbf026,8,64,64,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
150bc8c6dce1c71ff4598c7d2a3f6667,16,64,256,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,3.0694 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
6a2b2a09be8444a6c4589834bb625a4f,8,64,128,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
8b2b08013a8f3cc429e5fb5f145c5c0c,32,64,64,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.7875 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
e7d58f22768f24e0218d03a05d56ca0e,32,64,32,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8649 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
df66d44b85010d8359e515176295d0cd,8,64,256,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
4a2ab7bf237476bdfe4bf2fc54567be6,32,64,256,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,3.0691 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
617397b738cea957d0e1841fda58e03b,16,64,32,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
12467bb4262c0648f175457a8a591ec2,16,64,64,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
dab6fc1b75b6630861a8b84823c62b37,16,64,128,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
1f4a74a1142d874f8854a9d87a6b7dd8,4,64,128,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,3.1292 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
ffc9d24321af70baf722bc43755e8a5d,16,64,256,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
7d12d6582a20e2a0b2eddeb08de27229,32,64,256,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,3.0790 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
146530b8cf692bf4819afd543c19919b,4,64,256,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,3.5093 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
6410da709498a03acdb7becde9f788be,32,64,32,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
00874dcabd2a3d607e6487c1bf1087e9,32,64,64,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
afea98fa7b4b68a85c50fb4b6b6113d0,32,64,128,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
78249721727aa9e72facbbc57c781b34,8,64,32,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,3.2841 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
2b5f260caa6959a3e4382f2be2f7201f,32,64,256,1031671,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8000 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
fd09b245d57d59fc2ba18f8ae129b79e,8,64,128,1031670,0,5.14.0-362.24.1.el9_3.0.1.x86_64,,2.8181 ,1,AuthenticAMD,AMD EPYC 7543 32-Core Processor,4194304,33554432,524288
