env_hash,solver_hash,status,perf,inst_hash
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.132,17039a3ed02ea12653ec5389e56dab50
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.04,ddc7ca4c5dcb102a3ecc63721498f746
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,55.7084,060b7ed7ef9e59576b9ee62c998a5103
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,596.671,46e119b7ff8d0781354bfe68139c99b5
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.02,1d82cc80a18de76c0afb927e1beec38e
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,1072.24,a5fc113e7d4899f4e4af14b87b6fd6ae
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,1230.98,089456508f74be2d96f4112cc495f80a
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,564.488,004b0f451f7d96f6a572e9e76360f51a
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,172.237,01dd5feb463fa80f73809718f6ff735b
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,1.0428,d89718e39ff99638c2882b47988120cd
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.04,25fb8046ef33cb552eb45c2e006c5f32
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.03,04121f3fbe313b7046c9f54ac1e26c75
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,145.325,1bda6f076bbed75ed4250946919446a6
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,1368.6,ee57608ea4b74f25aebca809d59711c9
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.6133,a4b05fbc5be28207b704e1fae4b7c8a0
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.2365,0cfe9c90d3a51435a5e4dba7634b882f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.07,ab3438b504b296fcee78ec9e71969863
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.03,34e5fd58b65bf305cc773f0dbfb47917
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,91.9059,036b541db9d0839b0591d408ff4f77ae
